Coin,Sentiment,Closed PnL
@1,Extreme Greed,18.35805774074074
@1,Fear,0.0
@1,Greed,0.1797798333333335
@10,Extreme Fear,-0.031742
@10,Fear,0.0
@10,Greed,0.0
@100,Extreme Greed,6.9067855
@103,Extreme Greed,6.812669
@103,Greed,2.2473455
@107,Extreme Fear,-89.5887875576037
@107,Extreme Greed,191.1582114651543
@107,Fear,-2.2912565496155253
@107,Greed,86.25176302214813
@107,Neutral,52.15010709216152
@109,Extreme Greed,0.9092509999999999
@109,Fear,0.0
@109,Greed,416.2189364615385
@109,Neutral,0.510213
@11,Fear,0.0
@112,Extreme Greed,-13.289846599999999
@112,Greed,7.1672545
@113,Extreme Greed,5.165235666666667
@113,Greed,0.7152565
@114,Greed,0.6545385
@116,Extreme Greed,0.083239
@116,Greed,0.736616
@117,Extreme Greed,0.0
@117,Greed,2.3158445
@12,Extreme Greed,0.0
@12,Greed,0.0
@123,Extreme Greed,0.0
@124,Extreme Greed,-16.0754845
@125,Extreme Greed,20.636525260869565
@125,Greed,-17.395919000000003
@13,Extreme Fear,-0.061895
@13,Fear,0.0
@135,Extreme Greed,-5981.36399
@138,Fear,15.71019
@138,Neutral,9.765152
@14,Fear,0.0
@142,Extreme Fear,15.529335370370372
@142,Fear,1.8444869280000005
@142,Greed,1.6774342015037595
@142,Neutral,14.747182207667732
@147,Greed,-70.1265388
@15,Fear,0.0
@151,Fear,-1.4904160666666668
@151,Greed,39.960670965635735
@151,Neutral,0.0
@152,Fear,0.006818159090909091
@153,Fear,0.020609892857142854
@153,Greed,0.47452041095890407
@153,Neutral,0.0
@16,Extreme Fear,-0.0302145
@16,Fear,0.0
@16,Greed,0.0
@17,Greed,0.0
@18,Greed,0.0
@19,Greed,0.0
@2,Extreme Greed,-0.453973
@2,Greed,0.0
@20,Fear,0.0
@20,Greed,0.0
@20,Neutral,0.22562323809523807
@21,Greed,0.0
@23,Fear,0.0
@23,Greed,0.0
@23,Neutral,0.0
@24,Extreme Greed,-0.001468
@24,Greed,0.0
@25,Greed,0.0
@26,Extreme Fear,-0.032252249999999996
@26,Fear,0.0
@26,Greed,0.0
@28,Fear,0.0
@28,Neutral,0.0
@29,Extreme Fear,-0.0195935
@29,Fear,0.0
@29,Greed,0.0
@3,Fear,0.0
@3,Neutral,0.03854283333333333
@30,Fear,0.0
@31,Extreme Greed,16.6061365
@31,Greed,0.0
@32,Greed,0.0
@33,Extreme Greed,4.522309666666667
@33,Greed,0.0
@34,Greed,0.0
@35,Extreme Fear,33.5140635
@35,Fear,0.0
@35,Greed,0.0
@36,Extreme Greed,7.8315365
@36,Greed,0.0
@37,Extreme Greed,32.075795666666664
@37,Fear,0.0
@37,Greed,3.3923466666666666
@38,Extreme Fear,33.271993
@38,Fear,0.0
@38,Neutral,0.0
@39,Extreme Fear,12.238556
@39,Fear,0.0
@4,Extreme Fear,-13.8107095625
@4,Extreme Greed,5.794838525
@4,Fear,6.795691004166667
@4,Greed,0.0
@4,Neutral,-3.246641041825095
@40,Extreme Fear,16.748319
@40,Extreme Greed,-0.656948
@40,Fear,0.0
@41,Extreme Fear,36.73844
@41,Fear,0.0
@41,Greed,0.0
@41,Neutral,0.0
@42,Neutral,0.0
@44,Fear,0.0
@44,Greed,0.0
@44,Neutral,0.0
@45,Fear,0.0
@46,Fear,0.0
@47,Extreme Fear,25.156729
@47,Fear,0.0
@47,Greed,0.0
@48,Fear,0.0
@49,Extreme Fear,-10.178054249999999
@49,Fear,0.0
@51,Extreme Fear,0.0
@51,Extreme Greed,-1.33010825
@51,Fear,-3.793198855263158
@51,Greed,-2.070723888888889
@51,Neutral,0.0
@53,Extreme Greed,16.2721895
@53,Fear,0.0
@53,Greed,35.320328
@59,Extreme Greed,57.49353907142857
@59,Fear,0.0
@59,Greed,159.2905509090909
@59,Neutral,0.0
@6,Greed,0.0
@61,Fear,0.0
@63,Greed,-10.331773
@68,Extreme Greed,0.0
@7,Greed,0.0
@74,Extreme Greed,53.09046414285714
@74,Neutral,0.0
@78,Fear,0.0
@78,Greed,0.0
@78,Neutral,0.0
@8,Extreme Fear,1.4323124999999999
@8,Extreme Greed,-0.1468875
@8,Fear,0.8465517348484849
@8,Greed,0.0
@8,Neutral,0.0
@83,Extreme Greed,0.0
@83,Greed,-7.1406081666666665
@83,Neutral,-348.26323533333334
@85,Extreme Greed,291.81915292307696
@85,Fear,0.0
@85,Greed,279.18129885185186
@85,Neutral,0.0
@86,Extreme Greed,0.0
@9,Extreme Greed,-29.2824445
@9,Neutral,0.0
@93,Greed,7.977398
@95,Extreme Greed,-14.7190305
AAVE,Extreme Fear,0.0
AAVE,Extreme Greed,40.82326403017242
AAVE,Fear,21.9679710625
AAVE,Greed,3.370490408450704
AAVE,Neutral,-106.18842909433963
ACE,Extreme Greed,110.4285964
ADA,Extreme Fear,-182.08131859302324
ADA,Extreme Greed,5.530399550943396
ADA,Fear,14.167630808333334
ADA,Greed,1.723159090909091
ADA,Neutral,1.5306538461538464
AI,Extreme Fear,0.0
AI,Extreme Greed,-0.27304933333333337
AI,Fear,1.8634917999999998
AI,Greed,3.482036235294118
AI,Neutral,0.0
AI16Z,Extreme Fear,99.000812
AI16Z,Extreme Greed,9.748858268085106
AI16Z,Fear,50.199810794871794
AI16Z,Greed,23.24016665671642
AI16Z,Neutral,-9.829987666666668
AIXBT,Extreme Fear,0.0
AIXBT,Extreme Greed,7.42062374117647
AIXBT,Fear,76.79442265925925
AIXBT,Greed,125.28921595624999
AIXBT,Neutral,124.94810621590909
ALGO,Extreme Greed,7.30256
ALGO,Greed,-0.0621
ALGO,Neutral,4.0068
ALT,Extreme Greed,13.370768660377356
ALT,Fear,18.256248157894735
ALT,Greed,24.289917837837837
ALT,Neutral,35.753719076923076
ANIME,Extreme Fear,4.225193333333333
ANIME,Extreme Greed,33.46367171608833
ANIME,Fear,5.249987777777778
ANIME,Greed,30.073953000000003
ANIME,Neutral,-7.893111899999999
APE,Extreme Fear,0.7764197
APE,Extreme Greed,20.255060463157896
APE,Fear,3.555797509090909
APE,Greed,11.942590462046205
APE,Neutral,3.5071727692307695
APT,Extreme Fear,0.0
APT,Extreme Greed,5.1466096875
APT,Fear,31.175798874999998
APT,Greed,0.0
APT,Neutral,5.714354
AR,Extreme Greed,15.644784615384614
ARB,Extreme Fear,14.8265679
ARB,Extreme Greed,4.446950857142857
ARB,Fear,797.0925143636364
ARB,Greed,6.160784168674699
ARB,Neutral,5.4958008666666665
ARK,Extreme Greed,6.53457
ARK,Fear,0.9695270714285715
ARK,Greed,-6.5239375
